ID	pred_ID	org_class	pred_class
T96060007991	Q59L18	GO:0005813,GO:0030991,GO:0036064	GO:0005886
T96060016729	A4ZYY7	GO:0005730,GO:0005886	GO:0005871,GO:0005930,GO:0005932
T96060004759	Q3UG07	GO:0005829,GO:0070062	GO:0005886,GO:0030017
T96060000723	D4A0K7	GO:0005615,GO:0010008,GO:0016324,GO:0030139,GO:0070062	GO:0009986
T96060005747	P01033	GO:0005634,GO:0070062	GO:0005576,GO:0031093
T833330002853	O20250	NA	GO:0009535
T72270003087	Q9P7V9	GO:0005912	GO:0005634,GO:0005737,GO:0005829,GO:0032153,GO:0051286
T96060007337	F7D5G9	GO:0005719	GO:0005634
T96060006023	A2RSH6	GO:0005737	GO:0005634
T100900007672	NA	NA	NA
