ID	pred_ID	org_class	pred_class
T96060016677	Mix	GO:0008250	GO:0005783,GO:0005794
T96060015785	Mix	GO:0070062	GO:0005615
T101160000621	Mix	GO:0005622	GO:0005794
T96060006949	Mix	GO:0005634	GO:0005737
T72270001887	Mix	GO:0012505	GO:0005737
T72270001017	Mix		GO:0005737
T96060015905	Mix		GO:0005634
T96060010254	Mix	GO:0070062	GO:0001725,GO:0005794,GO:0005815,GO:0005886,GO:0008021,GO:0015629
T37020009175	Mix	GO:0009570,GO:0009579,GO:0009941	GO:0005744
T100900015688	Mix	GO:0005739	GO:0005739
T100900003041	Mix	GO:0005739	GO:0005794
T96060004912	Mix	GO:0005887	GO:0005886,GO:0005794
T96060016958	Mix	GO:0005634	GO:0005677,GO:0005730,GO:0005794
T100900012244	Mix		GO:0000775,GO:0000776,GO:0000779,GO:0000780
T96060004769	Mix	GO:0005634,GO:0005829	GO:0001669,GO:0005794
T100900007510	Mix	GO:0097228	GO:0000922,GO:0005794,GO:0005813,GO:0005829
T100900009761	Mix	GO:0005634	GO:0005634
T96060003430	Mix	GO:0005654,GO:0016020	GO:0005634,GO:0005730
T100900002083	Mix		GO:0005737
T101160007642	Mix	GO:0043195	GO:0005737
T96060012018	Mix	GO:0005615,GO:0005886,GO:0042581,GO:0048471,GO:0070062	GO:0005615
T96060002693	Mix	GO:0000307,GO:0005654,GO:0005663,GO:0005730,GO:0005813,GO:0005829,GO:0043596,GO:0070062,GO:0070557	GO:0000307,GO:0005634,GO:0005654,GO:0005794,GO:0005829
T37020009666	Mix	GO:0005634	GO:0005794
T2848120000411	Mix	GO:0000974,GO:0005681,GO:0005829	GO:0000974,GO:0005634,GO:0005681,GO:0005794
T96060003874	Mix	GO:0070062	GO:0005667
T100900006805	Mix	GO:0030424,GO:0045202	GO:0005794
T96060005000	Mix	GO:0005634	GO:0005634
T96060009424	Mix	GO:0005743	GO:0005739,GO:0005743
T96060017954	Mix	GO:0070062	GO:0008021
T96060003312	Mix	GO:0070062	GO:0005794
T100900006784	Mix	GO:0005886	GO:0005615,GO:0005794
T100900013063	Mix	GO:0000790	GO:0005634
T96060016763	Mix	GO:0005634,GO:0005794	GO:0005634
T100900015948	Mix	GO:0005769,GO:0005884	GO:0005769,GO:0005794
T96060005364	Mix	GO:0070062	GO:0005794,GO:0005886,GO:0005615,GO:0008021
T96060015725	Mix	GO:0005615,GO:0070062	GO:0005576
T96060015054	Mix	GO:0005634,GO:0005737	GO:0005737,GO:0005770,GO:0005794
T96060012499	Mix	GO:0070062	GO:0005634,GO:0005730,GO:0005737
T96060016127	Mix	GO:0005769,GO:0070062	GO:0005769,GO:0005794
T96060004620	Mix	GO:0016020	GO:0005783
T96060010195	Mix	GO:0005730,GO:0005737,GO:0016020,GO:0045111	GO:0005634,GO:0005654,GO:0005739
T96060007497	Mix		GO:0005794
T2848120003021	Mix	GO:0005739	GO:0005739
T100900016038	Mix	GO:0005814,GO:0005930,GO:0036064	GO:0005794
T96060012551	Mix	GO:0070062	GO:0005737
T833330000407	Mix		GO:0005886,GO:0005618
T96060009762	Mix	GO:0005737	GO:0005615
T100900011211	Mix	GO:0005634	GO:0005634
T100900014061	Mix	GO:0005829,GO:0044300,GO:0097060	GO:0005794
T37020004791	Mix		GO:0000790,GO:0005634,GO:0005794
T96060012492	Mix	GO:0070062	GO:0005737,GO:0005794
T96060012924	Mix	GO:0031227	GO:0005794
T96060013064	Mix	GO:0005615,GO:0005887,GO:0043235,GO:0070062	GO:0005794
T5592920000125	Mix	GO:0031304	GO:0005739
T96060004087	Mix	GO:0005794,GO:0005887,GO:0009897,GO:0045334,GO:0048471	GO:0005794,GO:0005886,GO:0005887,GO:0008021,GO:0009897,GO:0016020
T37020009235	Mix	GO:0005618,GO:0005886,GO:0009506,GO:0009507,GO:0022625	GO:0005737,GO:0005794,GO:0005829
T72270000891	Mix	GO:0005737	GO:0005783,GO:0005794,GO:0005886
T100900005064	Mix	GO:0005623	GO:0005794
T2089640000605	Mix		GO:0005794
T100900007146	Mix		GO:0000123
T96060017786	Mix	GO:0072562	GO:0005794,GO:0005886
T2089640000056	Mix		GO:0000324
T96060005479	Mix	GO:0005737,GO:0032587,GO:0043234,GO:0070062	GO:0005794
T96060010604	Mix	GO:0070062	GO:0005886
T96060002333	Mix	GO:0005615	GO:0005794
T96060009765	Mix	GO:0070062	GO:0005886
T100900004651	Mix		GO:0005634
T96060003796	Mix	GO:0070062	GO:0005794
T72270000852	Mix		GO:0000124
T2848120000456	Mix	GO:0005886	GO:0005886,GO:0000775,GO:0005634,GO:0005794,GO:0005816,GO:0005934,GO:0005935
T96060000972	Mix	GO:0016020	GO:0005737,GO:0005794
T96060016653	Mix	GO:0005730,GO:0005737	GO:0005730,GO:0005737
T100900001812	Mix	GO:0005759,GO:0033018	GO:0005739,GO:0005794,GO:0005886
T100900005863	Mix	GO:0005887	GO:0005794
T833330002120	Mix		GO:0005739
T96060016091	Mix	GO:0070062	GO:0008021
T37020003499	Mix		GO:0005634
T96060002686	Mix	GO:0016020	GO:0005783,GO:0005791
T100900008792	Mix	GO:0005737	GO:0005634,GO:0005794
T96060003853	Mix	GO:0070062	GO:0005615,GO:0005791
T96060003772	Mix	GO:0070062	GO:0005634,GO:0005730
T96060013113	Mix	GO:0031513,GO:0034704	GO:0016020
T72270002813	Mix	GO:0005739	GO:0005794
T100900009214	Mix	GO:0005911	GO:0005886,GO:0001725,GO:0005737,GO:0005794,GO:0005829,GO:0008021
T833330002870	Mix	GO:0009380	GO:0005886
T96060012440	Mix	GO:0005634,GO:0005783	GO:0005783
T96060003605	Mix	GO:0070062	GO:0000502,GO:0005634,GO:0005737
T96060012613	Mix		GO:0005667
T96060003553	Mix	GO:0005739	GO:0005739
T100900005810	Mix	GO:0005886,GO:0009986,GO:0045121	GO:0005886
T96060006416	Mix	GO:0005615,GO:0070062	GO:0005737
T100900006908	Mix		GO:0005794,GO:0005886
T96060010900	Mix	GO:0070062	GO:0005790,GO:0005794,GO:0005886
T96060005480	Mix	GO:0005737,GO:0032587,GO:0043234,GO:0070062	GO:0005886,GO:0005737
T96060014049	Mix		GO:0005794,GO:0005886,GO:0008021,GO:0016020
T96060000761	Mix	GO:0000812	GO:0005634
T96060003298	Mix	GO:0070062	GO:0005794
T2089640000512	Mix		GO:0005794
T96060013852	Mix	GO:0005634,GO:0005769,GO:0036064,GO:0070062	GO:0005634,GO:0005737,GO:0005768,GO:0005769,GO:0005794
T96060018539	Mix	GO:0005634	GO:0005634,GO:0005730,GO:0005737,GO:0005794,GO:0005829,GO:0005886
T101160006432	Mix		GO:0005739
T79550001080	Mix		GO:0005615,GO:0005794
T100900011324	Mix	GO:0005737,GO:0046658	GO:0005886,GO:0005576
T100900004545	Mix		GO:0005654
T833330002831	Mix	GO:0030288	GO:0005794
T96060002650	Mix	GO:0005634,GO:0005694,GO:0005737	GO:0005634,GO:0005730,GO:0005737
T96060001689	Mix	GO:0070062	GO:0005615,GO:0005794
T96060006840	Mix	GO:0005615,GO:0005643,GO:0005737,GO:0005886	GO:0005654,GO:0005794
T833330000704	Mix		GO:0005794
T2848120001540	Mix	GO:0005737	GO:0005737
T96060007050	Mix	GO:0070062	GO:0005794
T96060007361	Mix	GO:0070062	GO:0000786,GO:0005634,GO:0005694,GO:0005700,GO:0005704,GO:0005794
T2848120003765	Mix	GO:0005783,GO:0005794	GO:0005794
T96060008299	Mix	GO:0016020	GO:0005794
T100900013943	Mix	GO:0005887	GO:0005737,GO:0005794,GO:0005856,GO:0005886,GO:0005887
T2089640000746	Mix		GO:0000136
T2089640000123	Mix		GO:0005794
T101160000010	Mix		GO:0000159,GO:0005794
T37020003120	Mix	GO:0005634	GO:0005634
T96060008627	Mix	GO:0045095,GO:0070062	GO:0005794,GO:0005882
T100900001388	Mix	GO:0005634	GO:0005634
T100900012358	Mix	GO:0000790	GO:0005654,GO:0005666,GO:0005794
T2089640000771	Mix	GO:0019867	GO:0016020
T37020005846	Mix	GO:0005783,GO:0005794,GO:0005886	GO:0005794
T96060005875	Mix	GO:0070062	GO:0016020,GO:0000151,GO:0005737,GO:0005794
T96060003936	Mix	GO:0070062	GO:0005794
T100900005219	Mix	GO:0005634	GO:0005634
T96060007380	Mix	GO:0005615,GO:0005654,GO:0070062	GO:0000790
T96060014011	Mix	GO:0030139,GO:0070062	GO:0005622
T96060008473	Mix	GO:0005886,GO:0016021	GO:0005886,GO:0005794
T37020001364	Mix	GO:0005829	GO:0005622,GO:0005667
T2089640001060	Mix		GO:0005739
T2089640000165	Mix		GO:0005794
T100900011087	Mix	GO:0005739	GO:0005739
T96060016310	Mix	GO:0005634	GO:0005634
T96060006038	Mix	GO:0005730	GO:0005634,GO:0005794
T2089640000240	Mix		GO:0005739,GO:0005777,GO:0005783
T2089640000781	Mix		GO:0005886,GO:0005618
T96060007608	Mix	GO:0000139,GO:0005886,GO:0012507,GO:0030670,GO:0031901,GO:0071556	GO:0005886,GO:0000139,GO:0005794,GO:0008021,GO:0012507,GO:0016020
T37020006997	Mix	GO:0045254	GO:0005759
T96060000417	Mix	GO:0070062	GO:0005739
T100900016388	Mix		GO:0005634,GO:0005794
T100900012321	Mix	GO:0005634	GO:0005654
T96060007320	Mix	GO:0070062	GO:0005886,GO:0005576,GO:0005794
T96060014685	Mix	GO:0005737	GO:0005739
T96060002101	Mix	GO:0005794,GO:0005829,GO:0005886,GO:0005925,GO:0030864,GO:0031143,GO:0045121,GO:0070062,GO:0097038	GO:0000785,GO:0005634,GO:0005737
T100900013492	Mix	GO:0005768	GO:0005886,GO:0001411,GO:0005794
T5592920005619	Mix	GO:0005829	GO:0005656,GO:0005664,GO:0005794
T100900002662	Mix	GO:0005886	GO:0005783
T96060011463	Mix	GO:0005730,GO:0016020	GO:0005634,GO:0005730
T96060016867	Mix	GO:0070062	GO:0005794,GO:0005886,GO:0005887
T96060010743	Mix	GO:0005615	GO:0005739
T100900012493	Mix	GO:0005739	GO:0005739
T96060014415	Mix	GO:0005615,GO:0005737,GO:0005886	GO:0005737
T37020006721	Mix		GO:0005622
T96060005159	Mix	GO:0070062	GO:0005739,GO:0005743
T96060018976	Mix	GO:0030991	GO:0005794
T2089640000347	Mix		GO:0005643,GO:0005794
T2848120001136	Mix	GO:0005634,GO:0005829,GO:0032153	GO:0005634,GO:0005794,GO:0005829
T100900016094	Mix	GO:0005576	GO:0005794
T96060009316	Mix	GO:0016020	GO:0005794,GO:0005829,GO:0005886
T96060007829	Mix	GO:0005667,GO:0005886,GO:0070062,GO:0072562	GO:0005886,GO:0005576
T2089640001125	Mix		GO:0005634,GO:0005737
T5592920004245	Mix	GO:0005739	GO:0005739,GO:0005753
T100900003272	Mix		GO:0005615
T96060008980	Mix	GO:0005615	GO:0005794,GO:0005886,GO:0008021,GO:0014069
T96060003528	Mix	GO:0005886,GO:0044216,GO:0070062,GO:0072562	GO:0005886,GO:0005576
T96060014308	Mix	GO:0005737	GO:0005576
T72270002991	Mix		GO:0005794,GO:0005886,GO:0005634,GO:0016020,GO:0048471,GO:0043204,GO:0043005,GO:0033267,GO:0032839,GO:0030672,GO:0030425,GO:0008021,GO:0005739,GO:0005938,GO:0005925
T96060002170	Mix	GO:0043202,GO:0070062	GO:0005764,GO:0005794
T96060012888	Mix	GO:0016020	GO:0005634,GO:0005654,GO:0005730
T96060000398	Mix		GO:0005737
T833330003088	Mix		GO:0005615
T96060004834	Mix	GO:0000139,GO:0005765,GO:0009986,GO:0012507,GO:0030669,GO:0032588,GO:0042613,GO:0071556	GO:0005886,GO:0000139,GO:0005765,GO:0005794,GO:0008021,GO:0012507,GO:0016020,GO:0030658,GO:0030666
T96060002181	Mix	GO:0016020	GO:0005615
T96060014035	Mix	GO:0048471,GO:0070062	GO:0005794
T96060004288	Mix	GO:0005615	GO:0005794
T100900006285	Mix	GO:0005622	GO:0005794
T2089640000683	Mix		GO:0005794
T96060016685	Mix	GO:0005886,GO:0031201,GO:0043005	GO:0005886,GO:0043005,GO:0005794
T96060014736	Mix	GO:0005737	GO:0005794
T96060012414	Mix	GO:0005887,GO:0016324,GO:0043235	GO:0005886,GO:0005622
T101160000055	Mix	GO:0005794,GO:0031982	GO:0016020
T2848120003609	Mix	GO:0005829	GO:0005737,GO:0005794
T96060004017	Mix	GO:0070062	GO:0005576,GO:0005794,GO:0005886
T96060016272	Mix	GO:0070062	GO:0005615
T96060010107	Mix	GO:0005634,GO:0010369,GO:0070062	GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005794,GO:0005886,GO:0008021,GO:0016020
T96060015646	Mix	GO:0070062	GO:0005794,GO:0005886
T96060019141	Mix	GO:0070062	GO:0005634,GO:0005667
T5592920004152	Mix	GO:0005739	GO:0005794,GO:0005829
T96060004823	Mix	GO:0070062	GO:0005886
T96060011452	Mix	GO:0005730,GO:0005739	GO:0000794,GO:0005730
T96060013289	Mix	GO:0070062	GO:0005794
T100900001878	Mix		GO:0005615
T100900004874	Mix	GO:0005829	GO:0005737,GO:0005739,GO:0005794,GO:0005829,GO:0005886
T96060004808	Mix	GO:0005925,GO:0008180,GO:0030424,GO:0030426,GO:0045178	GO:0043005,GO:0005794,GO:0005886,GO:0008021,GO:0008180
T96060017245	Mix	GO:0005634	GO:0005794
T96060009537	Mix	GO:0005615,GO:0005793,GO:0005794,GO:0005887,GO:0009986,GO:0070062	GO:0005793
T96060007340	Mix	GO:0005720,GO:0070062	GO:0000790
T96060002827	Mix	GO:0005813	GO:0005794
T5592920004732	Mix	GO:0005730	GO:0005730
T101160005153	Mix	GO:0043209	GO:0005737,GO:0005794
T5592920003132	Mix	GO:0000932,GO:0005739	GO:0005737,GO:0005739
T96060016235	Mix	GO:0005730	GO:0005794,GO:0005886,GO:0005912,GO:0005915
T2848120005046	Mix	GO:0005634,GO:0005829	GO:0005634,GO:0005794
T37020009039	Mix	GO:0005634	GO:0005737,GO:0005794,GO:0005886
T96060008901	Mix	GO:0005783,GO:0005794	GO:0005783
T96060003900	Mix	GO:0005768,GO:0005829,GO:0070062	GO:0005768,GO:0005794
T96060001307	Mix	GO:0072686	GO:0005737
T96060004661	Mix	GO:0005886	GO:0005622,GO:0005794,GO:0005886
T100900016068	Mix		GO:0005886
T37020002543	Mix	GO:0005886	GO:0005794
T96060015723	Mix	GO:0005615	GO:0005615
T96060006713	Mix	GO:0016020	GO:0005789
T5592920006221	Mix	GO:0005628	GO:0005737,GO:0005794
T96060008510	Mix	GO:0016020	GO:0000794,GO:0005634,GO:0005794,GO:0005886
T5592920001097	Mix	GO:0000932,GO:0005634	GO:0000932,GO:0005737
T96060000812	Mix	GO:0016020	GO:0005634,GO:0005654,GO:0005675,GO:0005794
T96060009698	Mix	GO:0005615	GO:0005794
T37020007490	Mix	GO:0005794,GO:0005802	GO:0005783
T2848120004735	Mix	GO:0005829	GO:0005794
T101160006511	Mix	GO:0043195	GO:0005886,GO:0005634,GO:0005730,GO:0005737,GO:0005794
T96060015826	Mix	GO:0005615	GO:0005794,GO:0005886,GO:0008021,GO:0014069
T2848120002466	Mix	GO:0005634,GO:0005737	GO:0005634,GO:0005737
T96060006811	Mix	GO:0070062	GO:0005634
T96060011503	Mix	GO:0070062	GO:0005634
T96060004658	Mix	GO:0005634,GO:0005737,GO:0016020,GO:0070062	GO:0005794
T96060015346	Mix	GO:0070062	GO:0005576,GO:0005794
T96060000369	Mix	GO:0005634	GO:0005634,GO:0005794
T96060018205	Mix	GO:0005886,GO:0005925,GO:0031982	GO:0005886,GO:0005794
T100900013032	Mix	GO:0009986,GO:0045177,GO:0045178	GO:0005615,GO:0005794
T5592920001317	Mix	GO:0005759	GO:0005739
T96060010890	Mix	GO:0070062	GO:0005634
T96060004733	Mix	GO:0005615,GO:0005794,GO:0070062	GO:0005615
T72270001878	Mix	GO:0012505	GO:0005576
T100900008116	Mix	GO:0044300	GO:0016020
T2848120003876	Mix	GO:0005829	GO:0005737,GO:0005794
T72270000424	Mix		GO:0005794
T96060009311	Mix	GO:0005634	GO:0005634,GO:0005737,GO:0005794
T96060000744	Mix	GO:0070062	GO:0005576,GO:0005615
T96060012852	Mix	GO:0070062	GO:0005886,GO:0005737
T96060009653	Mix	GO:0016020	GO:0005794
T96060007875	Mix	GO:0005634	GO:0005634,GO:0005730
T100900002718	Mix	GO:0005881,GO:0035371	GO:0005794
T79550001409	Mix		GO:0005739,GO:0005794
T96060016697	Mix	GO:0005634,GO:0005737,GO:0045111,GO:0070062	GO:0005634,GO:0005730,GO:0005737,GO:0005794
T96060005443	Mix	GO:0005654,GO:0005829	GO:0005634
T96060012870	Mix	GO:0070062	GO:0005768
T100900014473	Mix		GO:0005794
T100900013581	Mix		GO:0005886,GO:0005634,GO:0005768,GO:0005794,GO:0008021,GO:0016020,GO:0030424
T96060004604	Mix	GO:0005789	GO:0005737
T96060012396	Mix	GO:0070062	GO:0016020,GO:0005794,GO:0005886
T446890000134	Mix	GO:0005829,GO:0005886	GO:0005634,GO:0005794
T100900007554	Mix	GO:0005634	GO:0005737,GO:0005794,GO:0005829
T5592920005558	Mix	GO:0005739	GO:0005634,GO:0005794
T37020005589	Mix	GO:0005829	GO:0005737,GO:0005739
T96060001760	Mix	GO:0005739	GO:0005783,GO:0005794,GO:0005886
T96060007379	Mix	GO:0070062	GO:0005634,GO:0005730
T96060017477	Mix	GO:0005737,GO:0043231	GO:0005794,GO:0005783,GO:0005829
T96060008941	Mix	GO:0005634	GO:0005739
T100900000790	Mix	GO:0005886	GO:0005794,GO:0005886,GO:0005783,GO:0005887
T101160001973	Mix	GO:0043195	GO:0008021
T100900001519	Mix	GO:0009986	GO:0005794
T96060001505	Mix		GO:0005794
T2089640000822	Mix		GO:0005576
